Material,Material Description,Location,Limitations
132-3028-0017,KIT-PANEL ASSY (KA120),Madison,
132-3028-0023,KIT-RADIO JUNCT BOX ASSY (POST TCTO-701),Madison,
132-3028-23,RADIO JUNCTION BOX,Madison,
132-3028-27,RADIO JUNCTION BOX,Madison,
132-340010-3,AUDIO PANEL ASSY-AVIONICS RACK,Madison,
132-340010-5,AUDIO PANEL ASSY-AVIONICS RACK,Madison,
132-340055-3,AUDIO PANEL ASY(SN,Madison,
132-340076-3,AUD PNL ASY PL(S/N,Madison,
132-340077-3,AUDIO PNL ASSY S/N,Madison,
132-340078-5,SWTCH PNL ASY-PILO,Madison,
132-340078-7,SWTCH PNL CO-PILOT,Madison,
132-340079-3,REVERS.PNL LH(S/N),Madison,
132-340080-1,SWTCH PNL ASY L/H,Madison,
132-340142-1,PNL ASSY REVERSION,Madison,
132-340153-1,REVERS.PNL ASY(S/N,Madison,
132-340200-1,"WIRE HARNESS-MIC AND PHONE JACKS,PILOT",Madison,
132-340201-1,"WIRE HARNESS-MIC AND PHONE JACKS,COPILOT",Madison,
132-340202-1,"WIRE HARNESS-MIC AND PHONE JACKS,OBSERVR",Madison,
132-340208-1,"WIRE HARNESS-MIC AND PHONE JACKS,GRD CRW",Madison,
132-364073-601,"WIRE HARNESS,FUEL QTY-AFT CABIN",Madison,
132-364094-7,PC BOARD ASY (S/N),Madison,
132-364108-1,"PCB,FUEL QTY(S/N)",Madison,
132-364108-7,PC BOARD ASSY,Madison,
132-369000-601,WIRING HARNESS LH - ENGINE,Madison,
132-369001-601,WIRING HARNESS RH - ENGINE,Madison,
132-380001-1,BLOWER ASSY,Madison,
132-380019-1,"SWITCH PANEL ASSY-ELECTROLUMINESCENT,RH",Madison,
132-380042-1,"INVERTER, STATIC",Madison,
132-384026-1,"PANEL ASSY-FUEL TANK,LH",Madison,
132-410012-1,"COVER ASSY,SERVICE DOOR",Madison,
132-410037-601,"DOOR ASSY, ACCESS,ENVIRONMENTAL,LH",Madison,
132-410038-3,"DOOR ASSY, ACCESS,ENVIRONMENTAL,RH",Madison,
132-410066-1,DOOR ASSY-ENVIRONMENTAL SERVICE,Madison,
132-440045-11,"DOOR ASSY,ACCESS-REAR FUS",Madison,
132-530025-83,"HEADREST ASSY,UPHOLSTERED-OBSERVR SEAT",Madison,
132-530025-89,"SEAT ASSY,UPHOLSTERED-OBSERVER",Madison,
132-550029-5,"DUCT ASSY-HEATER, ELECTRIC",Madison,
132-550068-7,FUSE LINK ASSY - ELEC HEATER,Madison,
132-610034-9,CONTROL COLUMN ASSY,Madison,
132-610040-5,"HOLDER ASSY,APPROACH PLATE",Madison,
132-910021-601,"DOOR ASSY-ACCESS,LH-NACELLE",Madison,
132-910021-652,"DOOR ASSY-ACCESS,RH-NACELLE",Madison,
132-910024-1,"DOOR ASSY-ACCESS,OIL FILTER,LH",Madison,
132-910024-2,"DOOR ASSY-ACCESS,OIL FILTER,RH",Madison,
132-920168-1,ACCESS DOOR ASSY,Madison,
132-920244-11,"COVER ASSY-WING,LWR PANEL",Madison,
132-920244-9,"COVER ASSY-WING,LWR PANEL",Madison,
133-360074-1/810,"PROTRACTOR, AOA CALIBRATION",Madison,
133-384016-1,TOOL KIT-CANOPY RIGGING,Madison,
133-384019-3,"LOCK-SAFETY,SPEED BRAKE (PA-030)",Madison,
133-384022-1,DRAIN LINE OIL (PE-059),Madison,
133-384022-1,"DRAIN LINE,OIL",Madison,
133-384036-1,KIT-CANOPY HINGE INSTALL,Madison,
133-384038-1,TOOL KIT-INTERSEAT SEQUENCING TUBE PRESS,Madison,
133-386004,TRAVEL BOARD-RUDDER T/T,Madison,
133-386004-1,TRAVEL BOARD-RUDDER TAB,Madison,
133-386004-3,TRAVEL BOARD,Madison,
133-388002-1,"LEVER,ADJ-NLG BUSHING",Madison,
133-388003-1,"LEVER,ADJ-MLG BUSHING",Madison,
133-388003-1,"LEVER,ADJ-MLG BUSHING",Madison,
133-388006-1,"COLLAR - LOCKING, NLG STRUT",Madison,
133-388007-1,"PULLER,PIN-MLG",Madison,
133-388008-1,MLG DRIVER CAP,Madison,
133-388009-1,NLG DRIVER CAP,Madison,
20011-4-10,FILTER UNION,Madison,
20011-6-10,"FILTER UNION, FLARED",Madison,
2-1552-1,BRAKE ASSY,Madison,
2-1580,MAIN BRAKE ASSY,Madison,
217320-1,SCREEN & SPRING ASSY,Madison,
2215157-1,"PLENUM, RAM AIR INLET",Madison,
23048-016,STARTER GENERATOR,Madison,
23080-011,"STARTER GENERATOR, 400 AMP",Madison,
23085-001,STARTER/GENERATOR,Madison,
27-42030-015,BELLCRANK,Madison,
27-51016-003,MLG ACTUATOR,Madison,
27-52000-227,"WHEEL/TIRE ASSY,NOSE GEAR",Madison,
30-1012-5,RECOGN LIGHT (SN),Madison,
30-1131-25,RECOGN LIGHT (SN),Madison,
30-1329-3M,LIGHT ASSY,Madison,
30-1329-6M,STROBE LIGHT,Madison,
30-1331-3,STROBE LIGHT ASSY,Madison,
30-1331-5,LIGHT ASSY,Madison,
30-204A,BRAKE ASSY,Madison,
3059256-01,OIL FILTER,Madison,
3059258-01,"FILTER,OIL (CLEANABLE)",Madison,
3059787-01,"FILTER ELEMENT, AIR",Madison,
3059788-01,"FILTER ELEMENT, P3 AIR",Madison,
3100456-01,NOZZLE,Madison,
31-3245-5,"LIGHT SUBASSY,RECOGNITION-RED",Madison,
3-1418,"WHEEL ASSY,NOSE GEAR,W/O TIRE",Madison,
35060-1164,"IND,CLIMB RATE(SN)",Madison,
35-165050-216,"FLAP ASSY-OTBD,LH",Madison,
35-165050-230,FLAP ASSY-OTBD,Madison,
35-165050-231,"FLAP ASSY-OTBD,RH",Madison,
35-165050-258,"FLAP ASSY-OTBD,LH",Madison,
35-165050-259,"FLAP ASSY-OTBD,RH",Madison,
36170-3R-1495,MAP LIGHT R/H,Madison,
390-810001-0009,MAIN LANDING GEAR ASSY,Madison,
390-810001-0010,MAIN LANDING GEAR ASSY,Madison,
390-820001-0003,NOSE LANDING GEAR ASSY,Madison,
40-0277-1,"LIGHT,ANTI-COLLISION",Madison,
400-8002-1,"BRAKE ASSY,MLG",Madison,
400-8002-109,"WHEEL ASSY, MLG",Madison,
400-8002-11,BACKPLATE AND TORQUE TUBE ASSY,Madison,
400-8002-201,"WHEEL ASSY, MLG",Madison,
400-8002-21,FLANGE-DEMOUNTABLE,Madison,
405-10124-501,BUSHING,Madison,
405-10124-501-FAT,BUSHING,Madison,
405-10606-507,"PIN,GROOVED,HEADLESS",Madison,
405-10610-502,LINK ASSEMBY,Madison,
405-21134-6-FAT,WIRE HARNESS SUPPORT DETAIL,Madison,
405-22052-12,FITTING,Madison,
405-22052-12-FAT,FITTING,Madison,
405-22052-3-FAT,FITTING,Madison,
405-22052-4,FITTING,Madison,
405-22052-4-FAT,FITTING,Madison,
405-22052-5,FITTING,Madison,
426-10110-501,"FITTING, EJECTOR",Madison,
4441112-SCO-A,"OXYGEN BOTTLE,PORTABLE",Madison,
45035-21,TORQUE LINK ASSY - NLG,Madison,
45070-21,SPRING ASSY(S/N),Madison,
45080-1,"PIN BALL - LOK, SINGLE ACTING",Madison,
45100-41,"DAMPER,SHIMMY(S/N)",Madison,
452-0020,"PANEL ASSY, ELT REMOTE SWITCH",Madison,
452-0021,SWITCH PNL ASSY,Madison,
45-521212-19,"ACTUATOR ASSY, FLAP",Madison,
45-521212-20,"ACTUATOR ASSY, FLAP, RH",Madison,
45A10067-011,COVER ASSY,Madison,
45A10067-101,COVER ASSY,Madison,
45A10067-111,COVER ASSY - WING LOWER PANEL,Madison,
45A10067-121,COVER ASSY - WING LOWER PANEL,Madison,
45A10070-021,ACCESS PANEL,Madison,
45A10070-022,ACCESS PANEL,Madison,
45A10070-101,COVER ASSY - WING LOWER PANEL,Madison,
45A10070-111,"COVER ASY,LH FUEL",Madison,
45A10070-112,"COVER ASSY, FUEL - RH",Madison,
45A10070-121,COVER ASSY - WING LOWER PANEL,Madison,
45A10070-642,COVER ASSY - WING LOWER PANEL,Madison,
45A10085-002,COVER ASSY R/H,Madison,
45A10502-001,SPOILER ASSY OB-LH,Madison,
45A10508-001,HINGE ASSY,Madison,
45A10508-002,HINGE ASSY,Madison,
45A10508-011,HINGE ASSY,Madison,
45A10508-012,HINGE ASSY,Madison,
45A10509-011,HINGE ASSY,Madison,
45A10509-021,HINGE ASSY,Madison,
45A10550-711,TIP COVER ASSY,Madison,
45A10720-001,ROLL TRIM ASSY,Madison,
45A10720-002,ROLL TRIM ASSY,Madison,
45A10770-002,MLG DOOR WNG R/H,Madison,
45A10770-003,"MLG DR ASY,WING LH",Madison,
45A10770-004,"MLG DR ASY,MAIN RH",Madison,
45A16002-021,FLAP ASSY L/H,Madison,
45A16002-022,FLAP ASSY R/H,Madison,
45A16002-621,FLAP ASSY L/H(S/N),Madison,
45A16002-622,FLAP ASSY R/H(S/N),Madison,
45A16002-641,FLAP ASSY L/H(S/N),Madison,
45A16002-642,FLAP ASSY R/H,Madison,
45A16241-001,L/H AFT FLAP(S/N),Madison,
45A16241-002,R/H AFT FLAP(S/N),Madison,
45A22002-011,"ELEVATOR ASSY,LH",Madison,
45A22002-012,"ELEVATOR ASSY,RH",Madison,
45A22002-031,"ELEVATOR ASSY,LH",Madison,
45A22002-611,"ELEVATOR ASSY,LH",Madison,
45A22002-612,"ELEVATOR ASSY,RH",Madison,
45A22002-613,"ELEVATOR ASSY,LH",Madison,
45A22002-614,"ELEVATOR ASSY,RH",Madison,
45A22002-645,"ELEVATOR ASSY,LH",Madison,
45A23309-001,COVER ASSY V-STAB,Madison,
45A24001-211,RUDDER ASSY,Madison,
45A24100-011,TRIM TAB,Madison,
45A30158-607,"HANDLEASY,ENT DOOR",Madison,
45A30308-023,"DOOR ASSY, MLG",Madison,
45A30308-024,"DOOR ASSY, MLG",Madison,
45A30308-025,"B.D. DOOR ASSY, MLG",Madison,
45A30308-026,"B.D. DOOR ASSY, MLG",Madison,
45A31227-011,"DOOR ASSY, NLG AND TAXI LIGHT",Madison,
45A31227-012,RT LD & TXI LT DR,Madison,
45A31603-001,NLG DOOR,Madison,
45A31603-002,NLG DOOR,Madison,
45A31615-021,"DOOR ASSY, NLG AFT",Madison,
45A33674-001,ACCESS DOOR ASSY,Madison,
45A34601-211,DOOR ASSY - REAR FUSELGE,Madison,
45A34601-221,BAGGAGE DOOR ASSY - REAR FUS,Madison,
45A35022-241,INLET DUCT ASY LH,Madison,
45A35022-242,INLET DUCT ASY RH,Madison,
45A35026-621,"ACCESS DOOR ASSY, NACELLE LH  UPR",Madison,
45A35026-622,ACCESS DR RH UPPER,Madison,
45A35026-631,ACCESS DR ASSY,Madison,
45A35026-711,ACCESS DOOR ASSY,Madison,
45A35027-042,NACELL ACS DR,Madison,
45A35027-641,ACCESS DOOR,Madison,
45A35027-641 U,ACCESS DOOR S/N,Madison,
45A35027-642,"ACCESS DOOR ASSY, NACELLE INBD",Madison,
45A35035-001,TAIL CONE ASSY,Madison,
45A35035-002,TAIL CONE ASSY,Madison,
45A35036-201,ACCESS DOOR ASSY-ENGINE,Madison,
45A35036-202,ACCESS DOOR ASSY-ENGINE,Madison,
45A35036-601,ACCESS DOOR ASSY,Madison,
45A35036-602,ACCESS DOOR ASSY,Madison,
45A35036-652,ACCESS DOOR ASSY,Madison,
45A35275-001,"ACCESS DOOR ASSY, OIL FILLER",Madison,
45A35275-002,ACCESS DOOR ASSY-ENGINE OIL,Madison,
45A38111-011,DAMPER ASSY - MLG,Madison,
45A38111-012,DAMPER ASSY - MLG,Madison,
45A38111-013,DAMPER ASSY - MLG,Madison,
45A38111-014,DAMPER ASSY - MLG,Madison,
45A38311-031,"UPLOCK ASSY, MLG DOOR",Madison,
45A38311-032,"UPLOCK MECHANISM ASSY, MLG DOOR",Madison,
45A38311-051,UPLOCK MECHANISM ASSY - MLG DOOR,Madison,
45A38311-052,"UPLOCK MECHANISM ASSY, MLG DOOR",Madison,
45A38311-071,UPLOCK MECH ASSY,Madison,
45A38311-072,"UPLOCK MECHANISM ASSY, MLG DOOR",Madison,
45A38511-021,UPLOCK MECHANISM ASSY - MLG,Madison,
45A38516-011,ROD END ASSY,Madison,
45A38533-012,HOUSING ASSY R/H,Madison,
45A39017-221,"WHEEL AND TIRE ASSY,NLG",Madison,
45A39400-031,LEVER ASY STEER,Madison,
45A39401-051,CAM ASSY STEERING,Madison,
45A39508-061,DAMPER ASSY,Madison,
45A39508-062,DAMPER ASSY,Madison,
45A39511-031,NLG UPLOCK,Madison,
45A39511-041,NLG UPLOCK MECH,Madison,
45A40304-21,DUCT ASSY-INB ENG JT15D-5,Madison,
45A40304-31,DUCT ASSY- JT15,Madison,
45A43178-011,BELLCRANK,Madison,
45A43180-031,THROTTLE STOP ASSY,Madison,
45A43180-051,THROTTLE STOP ASSY,Madison,
45A48191-021,COVER ASSY - FUEL SYSTEM,Madison,
45A48317-001,"COVER ASSY - FUEL TANK, AFT FUS",Madison,
45A61105-021,BRACKET ASSY,Madison,
45A61105-031,BRACKET ASSY,Madison,
45A61192-011,FEEL SPRING ASSY-SPOILER CNTRL (OP),Madison,
45A61193-001,"SPRING ASSY-BUNGEE,RUDDER CONTROL SYS",Madison,
45A61417-001,ROD ASSY,Madison,
45A61501-011,"QUADRANT ASSY,  ELEVATOR",Madison,
45A61504-001,LEVER ASSY,Madison,
45A61507-011,HORN LEVER L/H,Madison,
45A61507-012,HORN LEVER R/H,Madison,
45A61507-017,HORN LEVER L/H,Madison,
45A61507-018,HORN LEVER R/H,Madison,
45A61517-001,LINK ASSY,Madison,
45A61517-011,LINK,Madison,
45A61737-011,BELLCRANK ASSY,Madison,
45A61821-001,ROD ASSY,Madison,
45A61821-011,ROD ASSY,Madison,
45A62001-607,SPOILER-MXR ASSY,Madison,
45A62001-609,SPOILER-MXR ASSY,Madison,
45A62001-611,SPOILER-MXR ASSY,Madison,
45A62033-041,"SECTOR ASSY-FLAP CONTROL,LH",Madison,
45A62033-6041,"SECTOR ASSY-FLAP CONTROL,LH",Madison,
45A62038-011,SECTOR ASSY L/H,Madison,
45A62038-012,SECTOR ASSY R/H,Madison,
45A62038-6011,SECTOR ASSY L/H,Madison,
45A62067-007,SECTOR,Madison,
45A62067-009,SECTOR ASSY - FLAP,Madison,
45A62068-005,SECTOR FLAP RH,Madison,
45A62068-009,SECTOR,Madison,
45A62091-005,"LEVER ASSY, FLAP CONTROL",Madison,
45A62091-006,"LEVER ASSY,FLAP CONTROL",Madison,
45A62092-001,LEVER ASSY,Madison,
45A62092-002,LEVER ASSY,Madison,
45A62092-005,LEVER ASSY,Madison,
45A62092-006,LEVER ASSY,Madison,
45A62093-001,FLAP LEVER ASSY LH,Madison,
45A62093-002,FLAP LEVER ASSY RH,Madison,
45A62093-004,FLAP LEVER RH,Madison,
45A62093-005,FLAP LEVER ASSY LH,Madison,
45A62093-006,FLAP LEVER ASSY RH,Madison,
45A62232-001,LEVER,Madison,
45A62232-002,LEVER,Madison,
45A62279-001,LEVER ASSY L/H,Madison,
45A62279-002,LEVER ASSY R/H,Madison,
45A62435-001,LINK ASSY,Madison,
45A63501/935,BLEED AIR TESTER,Madison,
45A65575-11,CYLINDER DOWN LOCK RELEASE,Madison,
45A88523-651,O/H SW PANEL ASY,Madison,
45A89059/935-1,FLP RGGNG CNTRL BX,Madison,
45A96613-001,BELLCRANK ASSY,Madison,
45A96640-001,SECTOR ASSY L/H,Madison,
45A96641-001,SECTOR ASSY L/H,Madison,
45A96641-002,SECTOR ASSY R/H,Madison,
45A96641-012,SECTOR ASSY R/H,Madison,
45A96642-001,"SECTOR ASSY, LH",Madison,
45A96642-002,"SECTOR ASSY, RH",Madison,
45A96642-011,"SECTOR ASSY, LH",Madison,
45A96672-021,BRACKET,Madison,
45A96672-022,BRACKET,Madison,
45AS38401-011,MASTER CYLINDER,Madison,
45AS38401-012,MASTER CYLINDER,Madison,
45AS38502-005,"CYLINDER, MLG UPLOCK RELEASE",Madison,
45AS38510-007,CYLINDER-MLG DOWNLOCK RLS,Madison,
45AS38510-008,CYLINDER-MLG DOWNLOCK RLS,Madison,
45AS38515-007,"CYLINDER, MLG",Madison,
45AS38515-008,"CYLINDER, MLG",Madison,
45AS38516-007,"CYLINDER, MLG DOOR",Madison,
45AS38516-008,"CYLINDER, MLG DOOR",Madison,
45AS39502-005,"CYLINDER, NLG UPLOCK RELEASE",Madison,
45AS39502-007,"CYLINDER, NLG UPLOCK RELEASE",Madison,
45AS39503-005,CYLNDR NLG,Madison,
45AS39504-007,"CYLDR,NLG REL(S/N)",Madison,
45AS61002-003,"CYLNDR,SPEED BRAKE",Madison,
45AS61021-009,CYLINDER - FLAP,Madison,
45AS61021-010,CYLINDER - FLAP,Madison,
45AS63023-005,"VALVE, CHECK - BLEED AIR",Madison,
45AS63023-7,"VALVE, CHECK - BLEED AIR",Madison,
45AS86832-003,"INDICATOR,CABIN",Madison,
45AS86832-3,"INDICATOR,CABIN",Madison,
45AS86854-007,VOLT AMMETER,Madison,
45AS86854-7,VOLT-AMMETER,Madison,
45AS88801-017,DC STARTER GENERATOR,Madison,
45AS88801-019,GENERATOR CONTROL PANEL,Madison,
45AS88801-025,GENERATOR CONTROL PANEL,Madison,
45AS88804-001,POWER SUPPLY-EXIT LIGHT,Madison,
45AS88804-1,POWER SUPPLY-EXIT LIGHT,Madison,
45AS88826-003,"WING INSPECTION LIGHT, LH",Madison,
45AS88826-004,"WING INSPECTION LIGHT, RH",Madison,
45AS88834-001,CONTROL UNIT-LANDING GEAR,Madison,
45AS88834-003,CONTROL UNIT-LANDING GEAR,Madison,
45AS88834-1,CONTROL UNIT-LANDING GEAR,Madison,
46010-15,"CYLINDER, MLG",Madison,
46035-31,BRACKET ASSY,Madison,
46035-32,BRACKET ASSY,Madison,
46105-27,"BALANCER ASSY, MLG",Madison,
46110-31,UPPER STRUT ASSY,Madison,
46115-41,LOWER STRUT ASSY,Madison,
46115-51,"STRUT ASSY,LWR",Madison,
46120-27,LINK ASSY,Madison,
46126-13,PIN&HOOK ASSY,Madison,
4E1555-3,SLIP RING R H,Madison,
4E2442-1,SLIP RING (99),Madison,
5000757-10,"WHEEL,LANDING GEAR",Madison,
5000757-8,WHEEL AND TIRE ASSY-MLG,Madison,
5000758-10R,BRAKE ASSY-MLG,Madison,
5000919-1,WHEEL ASSY-NOSE LANDING GEAR,Madison,
5000919-2,WHEEL AND TIRE ASSY-NLG,Madison,
5002461-2,WHEEL HALF SUB ASSY -  INBOARD,Madison,
5006028-4,WHEEL MAIN ASSY,Madison,
5006028-5,WHEEL ASSY -MLG,Madison,
5006450-5,"WHEEL ASY,NOSE",Madison,
5007397-1WT,"WHEEL ASSY WITH TIRE,MLG-METRO",Madison,
5008888-1,BACK PLATE ASSY,Madison,
5010714-1,"WHEEL SUBASSY, INBD HALF",Madison,
5010720-1,"WHEEL ASSY, MLG",Madison,
501-1228-03,POWER SUPPLY,Madison,
501-1228-04,"POWER SUPPLY, EMERGENCY",Madison,
501-1321-01,BATTERY PACK CHARGER BC-815A,Madison,
5011640-1,BRAKE ASSY MLG,Madison,
501-1719-02,EMERGENCY POWER SUPPLY,Madison,
50284-003,BATTERY FAULT UNIT,Madison,
50-380045,CABIN RATE CLIMB INDICATOR,Madison,
50-380105-1,"INDICATOR, PNEUMATIC PRESSURE",Madison,
50-384203-3,GYRO-COPILOT HORIZON,Madison,
50-389133-15,ENGINE MOUNT-BARRY,Madison,
50-521222-3,ACTUATOR LH,Madison,
50-521222-4,FLAP ACTUATOR RH,Madison,
50-810029-18,FITTING ASSY - MLG PISTON,Madison,
50-810029-38,FITTING ASSY - MLG PISTON,Madison,
50-810032-10,"KNEE,UPR-LANDING GEAR",Madison,
50-810032-14,"KNEE,UPR-LANDING GEAR",Madison,
50-810032-8,"KNEE ASSY,UPR-LANDING GEAR",Madison,
50-810037-7,"BRACE ASSY,LG DRAG",Madison,
50-810164-17,"ACTUATOR, LANDING GEAR, LH",Madison,
50-810164-18,ACTUATOR LANDING GEAR RH,Madison,
50-810286-19,"GEAR ASSY,MAIN LH",Madison,
50-810286-20,"GEAR ASSY,MAIN RH",Madison,
50-810290-3,"CYLINDER ASSEMBLY,MLG",Madison,
50-810290-5,CYL. ASSY MLG,Madison,
50-810295-19,"KNEE ASSY,LWR-LANDING GEAR",Madison,
50-810295-25,"KNEE ASSY,LWR-LANDING GEAR",Madison,
50-810318-607,AXLE & PISTON,Madison,
50-810320-27,"SOCKET ASSY-DUAL WHEEL,MAIN",Madison,
50-810320-3,SOCKET ASSY - PISTON DUAL WHEEL,Madison,
50-810320-5,SOCKET,Madison,
50-810335-17,DRAG LEG ASSY-HF,Madison,
50-810336,DRAG LEG LOWER,Madison,
50-810369-1,"AXLE,MLG",Madison,
50-810369-601,"AXLE,MLG",Madison,
50-810370-1,PISTON ASSY-MLG,Madison,
50-810370-3,PISTON ASSY-LH LWR-MLG,Madison,
50-810370-4,PISTON ASSY-RH LWR-MLG,Madison,
50-820004-3,DAMPENER ASSY,Madison,
50-820034-19,LINK ASSY,Madison,
50-820179-7033,"DOOR ASSY-NOSE GEAR,LH (WHITE)",Madison,
50-820188-7,BRACKET ASSY-STEERING LINKAGE,Madison,
50-820197-604,"ABSORBER ASSY,NOSE GEAR LWR SHOCK",Madison,
50-820205-25,DRAG LEG ASSY,Madison,
50-820205-33,BRACE ASSY,Madison,
50-820205-37,NOSE DRAG LEG ASY,Madison,
50-820208-5,ACTUATOR ASSY - NOSE,Madison,
50-820229-1,RESTRICTOR,Madison,
51530-001A,"CONTROL UNIT,DC GENERATOR",Madison,
51538-001A,"CONTROL UNIT,DC GENERATOR",Madison,
5712-38,"VALVE,DRAIN",Madison,
60-384002-7,"BLOWER, AFT EVAPORATOR",Madison,
622-2855-001,ALT-55B RAD ALT,Madison,
622-2937-002,RADIO ALT IND(S/N),Madison,
622-3891-002,MODE SELECTOR (614E-42A),Madison,
622-5027-002,"PRIMARY SERVO MOTOR, 28VDC, SVO-85B",Madison,
622-6020-121,EFD-85 ELECTRONIC FLIGHT DISPLAY,Madison,
622-6137-001,"RECEIVER, NAVAGATIONAL",Madison,
622-6137-201,RECEIVER NAVIGATOR,Madison,
622-6208-204,AUTOPILOT PANL(S/N,Madison,
622-6209-118,MODE SEL PNL (SN),Madison,
622-6209-120,MODE SEL PNL (SN),Madison,
622-6209-128,MODE SELECT PANEL (MSP-85),Madison,
622-6717-004,"PRIMARY SERVO MOTOR, 28VDC, SVO-85C",Madison,
622-6717-104,"PRIMARY SERVO MOTOR, 28VDC, SVO-85C",Madison,
622-6718-104,SERVO MOUNT,Madison,
622-7194-101,RECEIVER,Madison,
622-7208-006,AIR DATA COMPUTER (ADC-850),Madison,
622-7209-002,RADIO ALT COVTR(SN,Madison,
622-7293-121,VHF COMM TRANS,Madison,
622-7309-101,"TRANSCEIVER, DME-442",Madison,
622-7382-101,RECEIVER,Madison,
622-9336-002,ATTITUDE HEADING COMPUTER,Madison,
622-9681-001,EFD-84 EFIS DISPLAY,Madison,
622-9682-002,DPU-84 DISPLAY,Madison,
622-9682-004,DPU-84 DISPLAY,Madison,
622-9683-011,DSP-84 DSPL SELECT,Madison,
622-9683-111,DISPLAY SELECT PANEL (DSP-84),Madison,
622-9813-002,IAPS CARD CAGE/HIRF FINGERS,Madison,
622-9814-202,"CONCENTRATOR,INPUT/OUTPUT",Madison,
622-9817-001,AUTOTRIM COUPLR(SN,Madison,
622-9818-773,MDC-4000,Madison,
622-9856-005,RTU-870T RADIO TUNING UNIT,Madison,
622-9867-005,DISPLAY PROCESSOR UNIT (DPU-85V),Madison,
622-9868-013,DISPLAY CTRL PANEL,Madison,
622-9870-021,MULTIFUNCTION DISPLAY UNIT (MFD-871T),Madison,
622-9871-003,"INDICATOR, MACH SPEED (MSI-850T)",Madison,
622-9872-003,"INDICATOR, ALTIMETER  (ALI-850T)",Madison,
622-9945-001,"POWER SUPPLY,IAPS (PWR-4000)",Madison,
622-9991-115,"FLIGHT CONTROL COMPUTER, FCC-4001",Madison,
7000700-903,AIR DATA COMPUTER (AZ-810),Madison,
707073-801,RECEIVER-TRANSMITTE,Madison,
7801-1000-1,RECEIVER TRANSMITTER,Madison,
7801-1050-1,CIRCUIT CARD ASSY,Madison,
7801-1100-1,TACAN R/T,Madison,
7801-1150-1,RECEIVER ASSEMBLY,Madison,
7801-1165-1,MODULATOR ASSY,Madison,
7801-1400-3,CIRCUIT CARD ASSY,Madison,
7801-3035-3,CIRCUIT CARD ASSY,Madison,
7801-3040-2,CIRCUIT CARD ASSY,Madison,
7801-9450-1,"CONTROL UNIT,TACAN RECEIVER-TRANSMITTER",Madison,
7801-9750-1,"CONTROL UNIT,TACAN RECEIVER-TRANSMITTER",Madison,
822-0891-102,"FLIGHT MANAGEMENT COMPUTER, FMC-5000",Madison,
822-0891-103,"FLIGHT MANAGEMENT COMPUTER, FMC-5000",Madison,
822-0892-013,CONTROL DISPLAY UNIT (CDU-5000),Madison,
822-0892-017,CONTROL DISPLAY UNIT (CDU-5000) 115V LTG,Madison,
822-1266-001,DSPLY CNTRL PANEL,Madison,
866-1-1,LAMP DIMMER / POWER SUPPLY,Madison,
90033-24,LOWER BEACON,Madison,
90033-25,LIGHT ASSY (S/N),Madison,
902880-801,"RECEIVER-TRANSMITTER,UHF RADIO",Madison,
90-364106-1,ANNUNCITR CONT(S/N,Madison,
90-380001-23,MASTER CYLINDER - HYDRAULIC BRAKE,Madison,
90-380001-29,MASTER CYLINDER,Madison,
90-380001-33,MASTER CYLINDER,Madison,
90-380002-3,"SWITCH ASSY,PRESSURE,30 PSIG",Madison,
9053-3023,IND FUEL TEMP(S/N),Madison,
90-820020-13,"DRAG LEG, UPPER",Madison,
91-360011-1,"PANEL ASSY, RELAY",Madison,
91-810010-7,GEAR BOX ASSY W/O MOTOR,Madison,
9536598-9,WHL SUBASSY INB,Madison,
9536599-9,WHEEL HALF O/B,Madison,
97-820000-11,"LANDING GEAR ASSY, NOSE",Madison,
99-810025-3,PISTON & AXLE MLG,Madison,
99-810025-607,PISTON & AXLE MLG,Madison,
99-810028-15,"BRACE ASSY, MLG - STD",Madison,
99-810028-19,BRACE ASSY,Madison,
99-810028-23,BRACE ASSY,Madison,
99-810028-25,"BRACE,TOP,MAIN GEAR",Madison,
99-810028-27,MLG BRACE,Madison,
99-810028-31,MLG BRACE,Madison,
99-810028-7,BRACE ASSY MLG,Madison,
99-810030-33,"DOOR ASSY-MLG,LH OTB & RH INBD,FLOTATION",Madison,
99-810057-651,ACTUATOR ASSY,Madison,
99-810057-652,ACTUATOR ASSY,Madison,
99-810057-653,"ACTUATOR ASSY, RH - MLG",Madison,
99-810057-654,"ACTUATOR ASSY, LH - MLG",Madison,
99-820100,"CYLINDER ASSEMBLY,NOSE LANDING GEAR",Madison,
99-820100-5,"CYLINDER ASSY,NOSE GEAR UPR SHOCK-NLG",Madison,
A100620-101,CABLE ASSY,Madison,
A100620-101(V1),CABLE ASSY,Madison,
A100621-101,CABLE ASSY,Madison,
A100622-101,CABLE ASSY,Madison,
A100622-101(V1),CABLE ASSY,Madison,
A218-967759-00,"GRIP ASSY, CYCLIC COBRA",Madison,
BST-2921,"TORQUE ADAPTER,WRENCH,CYLINDER,PROPELLER",Madison,
C-5328,SPRING,Madison,
CB2100T6D,"COMPASS, MAGNETIC, STANDBY",Madison,
D4N00136S,"PROPELLER, HC-D4N-3A/D9515K/D-630-7P",Madison,
DA321A0032-1,"BOLT, SIDEBRACE MLG *CSI* *ECN*",Madison,
DA322A0052-513,"DRAG BRACE ASSY, NLG",Madison,
DA322A0057-505,"HOUSING,TRUNNION-DRAG BRACE,NLG  (CSI)",Madison,
